species,LONGITUDE,LATITUDE
species,75.2502305,13.4274664
species,75.2503717,13.6922632
species,75.2508169,13.7740521
species,75.2519683,13.218105
species,75.2520951,13.4158628
species,75.252125,12.36643
species,75.2521451,13.2212773
species,75.2524853,12.3878745
species,75.2530236,13.7121978
species,75.2530676,13.2138522
species,75.2535447,13.4340982
species,75.2538124,13.412617
species,75.25445,13.44456
species,75.254518,13.690959
species,75.254572,13.2276948
species,75.255033,13.420216
species,75.2550961,13.4154992
species,75.2551031,12.3299399
species,75.255427,13.96399
species,75.2556808,13.0315643
species,75.2560472,13.691987
species,75.2563594,13.4378567
species,75.2565,13.44546
species,75.2581193,13.8286149
species,75.2590016,12.3308483
species,75.2591059,13.4388585
species,75.261744,13.4225699
species,75.2622126,13.4206913
species,75.2623222,12.3971848
species,75.2624121,12.3548949
species,75.2637098,13.6783753
species,75.2638546,13.4246301
species,75.2645445,12.3204646
species,75.264822,12.5264
species,75.2649817,12.4679921
species,75.2657183,12.4163297
species,75.2669005,13.838246
species,75.2674879,12.3548457
species,75.26773,13.700108
species,75.267805,13.347011
species,75.2705188,12.4340702
species,75.2710265,12.4414729
species,75.2718186,12.4434285
species,75.2725603,13.1346355
species,75.2728405,13.1285112
species,75.2733063,12.3324714
species,75.2734715,13.1258246
species,75.2735757,13.21141
species,75.2759715,12.4251382
species,75.2760458,13.1359045
species,75.2765173,12.4922356
species,75.276735,13.131564
species,75.2783144,12.3959209
species,75.2783944,12.4393458
species,75.279238,12.398616
species,75.2794444,13.7161111
species,75.2794523,13.131812
species,75.280032,13.761277
species,75.280161,12.3913807
species,75.2809734,12.3878928
species,75.2817888,13.1325676
species,75.2819508,13.2072583
species,75.2832683,12.3898267
species,75.2842982,13.7105432
species,75.284416,13.134532
species,75.284676,12.3134622
species,75.2850795,12.3364802
species,75.285419,12.344794
species,75.2854347,13.1985549
species,75.2857232,12.4264136
species,75.2866556,13.5750404
species,75.2867317,13.4238616
species,75.2868395,12.3422792
species,75.2870187,12.4441039
species,75.2876115,12.5175308
species,75.2878313,12.3222448
species,75.2878341,13.1346554
species,75.2879419,12.3242567
species,75.289753,13.134173
species,75.2902079,13.2661786
species,75.2904586,12.4487802
species,75.291823,13.132736
species,75.2924537,13.5270744
species,75.2924663,13.6524352
species,75.2925086,12.444606
